,hashtags,symbols,user_mentions,urls,media
12,[],[],"[{'screen_name': 'csingleton__2', 'name': 'Chris Singleton', 'id': 1586268696, 'id_str': '1586268696', 'indices': [39, 53]}]",[],"[{'id': 1359913659879870466, 'id_str': '1359913659879870466', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/Et9jCaoXEAAxAwE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et9jCaoXEAAxAwE.jpg', 'url': 'https://t.co/GUsYVlY3hb', 'display_url': 'pic.twitter.com/GUsYVlY3hb', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1359945492994678790/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 360, 'h': 450, 'resize': 'fit'}, 'small': {'w': 360, 'h': 450, 'resize': 'fit'}, 'large': {'w': 360, 'h': 450, 'resize': 'fit'}}}]"
13,[],[],[],[],
14,[],[],[],[],"[{'id': 1359634446220148737, 'id_str': '1359634446220148737', 'indices': [32, 55], 'media_url': 'http://pbs.twimg.com/media/Et5mtcKXYAUgZYu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et5mtcKXYAUgZYu.jpg', 'url': 'https://t.co/I1BCiJx57t', 'display_url': 'pic.twitter.com/I1BCiJx57t', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1359637084814860289/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]"
15,[],[],[],[],
16,[],[],[],[],"[{'id': 1359546245136678915, 'id_str': '1359546245136678915', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/Et4UG1UWgAMKaHI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et4UG1UWgAMKaHI.jpg', 'url': 'https://t.co/0JoNlhUVru', 'display_url': 'pic.twitter.com/0JoNlhUVru', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1359566190960668672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]"
17,[],[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [49, 59]}]",[],"[{'id': 1359351787208253441, 'id_str': '1359351787208253441', 'indices': [138, 161], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1359351787208253441/pu/img/qy4T8yQ34u8IOKFQ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1359351787208253441/pu/img/qy4T8yQ34u8IOKFQ.jpg', 'url': 'https://t.co/UPv1h40lmx', 'display_url': 'pic.twitter.com/UPv1h40lmx', 'expanded_url': 'https://twitter.com/KidM3mito/status/1359352021531430915/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1359352021531430915, 'source_status_id_str': '1359352021531430915', 'source_user_id': 834100159323766784, 'source_user_id_str': '834100159323766784'}]"
18,[],[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [12, 22]}, {'screen_name': 'eMLS', 'name': '🎮 Major League Soccer', 'id': 922506058865704960, 'id_str': '922506058865704960', 'indices': [43, 48]}]",[],
19,[],[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [3, 13]}, {'screen_name': 'eMLS', 'name': '🎮 Major League Soccer', 'id': 922506058865704960, 'id_str': '922506058865704960', 'indices': [45, 50]}]",[],
20,[],[],[],[],
21,[],[],"[{'screen_name': 'TNTerens', 'name': 'Tyler Terens', 'id': 372415787, 'id_str': '372415787', 'indices': [15, 24]}]",[],"[{'id': 1358885207278055429, 'id_str': '1358885207278055429', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/Etu9cXAXEAg7ONn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Etu9cXAXEAg7ONn.jpg', 'url': 'https://t.co/R4dzaYCH7L', 'display_url': 'pic.twitter.com/R4dzaYCH7L', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1358888084159533059/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]"
