,id,tweets,likes,created_at,num_retweets,hashtags,symbols,user_mentions,urls,media
331,1322738776196718594,First time in a long time ❤️ https://t.co/UVvPCqAEva,278,2020-11-01 03:14:34,13,[],[],[],[],"[{'id': 1322736791938600960, 'id_str': '1322736791938600960', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EltOQB6WkAoBbT7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EltOQB6WkAoBbT7.jpg', 'url': 'https://t.co/UVvPCqAEva', 'display_url': 'pic.twitter.com/UVvPCqAEva', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322738776196718594/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]"
332,1322733516166172673,Big plays at both ends 👊 https://t.co/6YVd0jB8ET,14,2020-11-01 02:53:40,3,[],[],[],[],"[{'id': 1322731952697462784, 'id_str': '1322731952697462784', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/media/EltJs-2XUAAQWHg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EltJs-2XUAAQWHg.jpg', 'url': 'https://t.co/6YVd0jB8ET', 'display_url': 'pic.twitter.com/6YVd0jB8ET', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322733516166172673/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]"
333,1322730752275087360,All comes down to the final week. https://t.co/4y5Rxqxed9,21,2020-11-01 02:42:41,6,[],[],[],[],"[{'id': 1322730425803018240, 'id_str': '1322730425803018240', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EltIUGuXEAAZluv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EltIUGuXEAAZluv.jpg', 'url': 'https://t.co/4y5Rxqxed9', 'display_url': 'pic.twitter.com/4y5Rxqxed9', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322730752275087360/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]"
334,1322728217237688322,Taking home a massive road point. https://t.co/AJ7eyXj05W,72,2020-11-01 02:32:36,12,[],[],[],[],"[{'id': 1322727847270715392, 'id_str': '1322727847270715392', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EltF-A8WkAAl2kW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EltF-A8WkAAl2kW.jpg', 'url': 'https://t.co/AJ7eyXj05W', 'display_url': 'pic.twitter.com/AJ7eyXj05W', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322728217237688322/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]"
335,1322724663064145921,"82' | Switching up the attack.

#cffc @gerbercollision https://t.co/5irGMYEE84",6,2020-11-01 02:18:29,4,"[{'text': 'cffc', 'indices': [32, 37]}]",[],"[{'screen_name': 'gerbercollision', 'name': 'Gerber Collision', 'id': 326253909, 'id_str': '326253909', 'indices': [38, 54]}]",[],"[{'id': 1322724409304600577, 'id_str': '1322724409304600577', 'indices': [55, 78], 'media_url': 'http://pbs.twimg.com/media/EltC15hW0AEbRdh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EltC15hW0AEbRdh.jpg', 'url': 'https://t.co/5irGMYEE84', 'display_url': 'pic.twitter.com/5irGMYEE84', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322724663064145921/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 605, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1821, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1067, 'h': 1200, 'resize': 'fit'}}}]"
336,1322723216650129408,"76' | 15 minutes to break the deadlock.

#cffc @gerbercollision https://t.co/duq5vmpgKg",9,2020-11-01 02:12:44,3,"[{'text': 'cffc', 'indices': [41, 46]}]",[],"[{'screen_name': 'gerbercollision', 'name': 'Gerber Collision', 'id': 326253909, 'id_str': '326253909', 'indices': [47, 63]}]",[],"[{'id': 1322722945937117184, 'id_str': '1322722945937117184', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EltBguDXEAADLzg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EltBguDXEAADLzg.jpg', 'url': 'https://t.co/duq5vmpgKg', 'display_url': 'pic.twitter.com/duq5vmpgKg', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322723216650129408/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1821, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1067, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 605, 'h': 680, 'resize': 'fit'}}}]"
337,1322723206546001920,"76' | First two changes come on.

#cffc @gerbercollision https://t.co/BYEjlHYayI",16,2020-11-01 02:12:42,4,"[{'text': 'cffc', 'indices': [34, 39]}]",[],"[{'screen_name': 'gerbercollision', 'name': 'Gerber Collision', 'id': 326253909, 'id_str': '326253909', 'indices': [40, 56]}]",[],"[{'id': 1322722886956797952, 'id_str': '1322722886956797952', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EltBdSVW0AAv9IB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EltBdSVW0AAv9IB.jpg', 'url': 'https://t.co/BYEjlHYayI', 'display_url': 'pic.twitter.com/BYEjlHYayI', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322723206546001920/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1067, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 605, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1821, 'h': 2048, 'resize': 'fit'}}}]"
338,1322715224059875330,"All to play for on WGN and ESPN+.

#NSHvCHI 1-1 (46') https://t.co/GmQWF4ieaf",22,2020-11-01 01:40:58,2,"[{'text': 'NSHvCHI', 'indices': [35, 43]}]",[],[],[],"[{'id': 1322714994199404550, 'id_str': '1322714994199404550', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Els6R3hWoAYY351.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Els6R3hWoAYY351.jpg', 'url': 'https://t.co/GmQWF4ieaf', 'display_url': 'pic.twitter.com/GmQWF4ieaf', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322715224059875330/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 404, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 404, 'resize': 'fit'}}}]"
339,1322711640161325056,Battled back to level it at the break. https://t.co/zzz3mzDvoq,14,2020-11-01 01:26:44,4,[],[],[],[],"[{'id': 1322711343527579650, 'id_str': '1322711343527579650', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/Els29XtXUAIt6Wm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Els29XtXUAIt6Wm.jpg', 'url': 'https://t.co/zzz3mzDvoq', 'display_url': 'pic.twitter.com/zzz3mzDvoq', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322711640161325056/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]"
340,1322711454357868546,"Boris just ghosting through the defense.

#NSHvCHI 1-1 https://t.co/vE0d8n27x0",121,2020-11-01 01:26:00,14,"[{'text': 'NSHvCHI', 'indices': [42, 50]}]",[],[],[],"[{'id': 1322710149014851584, 'id_str': '1322710149014851584', 'indices': [55, 78], 'media_url': 'http://pbs.twimg.com/media/Els2gV5XYAEmqbw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Els2gV5XYAEmqbw.jpg', 'url': 'https://t.co/vE0d8n27x0', 'display_url': 'pic.twitter.com/vE0d8n27x0', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322711454357868546/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]"
341,1322710329256718337,"COOL AS YOU LIKE.

Sekulić slots home the equalizer.

#NSHvCHI 1-1 (42') https://t.co/8FNNxJxK62",54,2020-11-01 01:21:31,9,"[{'text': 'NSHvCHI', 'indices': [54, 62]}]",[],[],[],"[{'id': 1322709978940121088, 'id_str': '1322709978940121088', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Els1t8OXIAAPsHO.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Els1t8OXIAAPsHO.jpg', 'url': 'https://t.co/8FNNxJxK62', 'display_url': 'pic.twitter.com/8FNNxJxK62', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322710329256718337/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 750, 'h': 750, 'resize': 'fit'}, 'large': {'w': 750, 'h': 750, 'resize': 'fit'}}}]"
342,1322706651678416900,"Ríos heads in the opener for Nashville.

#NSHvCHI 1-0 (28')",4,2020-11-01 01:06:55,2,"[{'text': 'NSHvCHI', 'indices': [41, 49]}]",[],[],[],
